benchmark_id,N,db_type,content_size,p50_ms,p95_ms,p99_ms,mean_ms,min_ms,max_ms,peak_rss_mb
test_benchmark_end_to_end_recall,1000,sqlite,large,16.2623,44.2409,356.7194,29.5417,13.0124,405.3600,310.8438
test_benchmark_end_to_end_recall,1000,sqlite,medium,15.1710,26.5322,28.5653,16.8608,12.7039,31.3636,276.3438
test_benchmark_end_to_end_recall,1000,sqlite,small,15.1983,25.8949,28.7557,16.5300,12.9599,31.0278,266.3750
test_benchmark_end_to_end_recall,1500,postgres,large,32.8279,44.4925,44.6881,34.0714,21.8845,44.6884,622.5312
test_benchmark_end_to_end_recall,1500,postgres,medium,33.0608,44.3056,121.8590,37.1790,23.4436,168.9975,364.2656
test_benchmark_end_to_end_recall,1500,postgres,small,33.4367,44.1605,45.2003,35.6854,29.3571,45.5038,333.9375
test_benchmark_end_to_end_recall,1500,sqlite,large,14.9509,26.9953,32.4929,16.9795,12.6560,32.8415,340.1406
test_benchmark_end_to_end_recall,1500,sqlite,medium,15.8332,22.9023,32.1045,16.3714,12.9520,34.5950,431.2969
test_benchmark_end_to_end_recall,1500,sqlite,small,15.7901,30.5570,66.1304,19.4357,13.1183,140.7080,564.1094
test_benchmark_end_to_end_recall,2000,postgres,large,35.5168,46.4677,52.0254,36.2764,21.7386,53.5283,535.0938
test_benchmark_end_to_end_recall,2000,postgres,medium,38.2565,51.6987,129.2506,42.0427,26.9418,174.5576,235.2031
test_benchmark_end_to_end_recall,2000,postgres,small,36.7059,48.5383,135.9446,41.5587,27.6008,170.5584,309.3438
test_benchmark_end_to_end_recall,2000,sqlite,large,18.2757,26.7313,27.5392,19.2305,12.9325,28.5400,565.0156
test_benchmark_end_to_end_recall,2000,sqlite,medium,17.6664,26.2599,26.6570,18.5842,13.1252,27.2110,601.1875
test_benchmark_end_to_end_recall,2000,sqlite,small,17.5471,26.9691,27.6568,19.2996,13.2911,28.0095,630.7188
test_benchmark_end_to_end_recall,2500,postgres,large,33.7078,43.3949,45.2719,34.4506,24.9356,45.6081,617.2344
